Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
191004,Ambipar Response,Espírito Santo,Diário,2022-06-15,-208.607.337,-407.560.852,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piuma
190998,Ambipar Response,Espírito Santo,Diário,2022-06-15,-196.921.645,-399.198.988,Mammalia,Cetacea,Tursiops truncatus,Não,Arenoso,Morto,Aracruz
190988,Ambipar Response,Espírito Santo,Diário,2022-06-15,-206.342.085,-404.386.647,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Guarapari
190987,Ambipar Response,Espírito Santo,Diário,2022-06-15,-207.286.416,-405.247.355,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Guarapari
190986,Ambipar Response,Espírito Santo,Diário,2022-06-14,-206.527.235,-404.774.747,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Guarapari
190982,Ambipar Response,Espírito Santo,Diário,2022-06-15,-1.876.781,-397.479,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,São Mateus
190977,Ambipar Response,Rio de Janeiro,Diário,2022-06-15,-21.498.675,-410.691.617,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190976,Ambipar Response,Rio de Janeiro,Diário,2022-06-15,-213.930.133,-409.899.967,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190965,Ambipar Response,Espírito Santo,Diário,2022-06-14,-203.156,-40.295,Aves,Charadriiformes,Thalasseus acuflavidus,Não,Outros,Vivo,Vitória
190947,Ambipar Response,Rio de Janeiro,Acionamento,2022-06-13,-2.202.442,-4.100.961,Mammalia,Cetacea,Tursiops truncatus,Não,Arenoso,Morto,Campos dos Goytacazes
190944,Ambipar Response,Espírito Santo,Diário,2022-06-12,-202.663,-402.643,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vitória
190942,Ambipar Response,Rio de Janeiro,Diário,2022-06-14,-223.967,-417.853,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Macaé
190927,Ambipar Response,Espírito Santo,Diário,2022-06-14,-1.889.724,-3.974.454,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Mateus
190923,Ambipar Response,Espírito Santo,Diário,2022-06-11,-200.619,-401.845,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
190919,Ambipar Response,Rio de Janeiro,Diário,2022-06-14,-214.648.967,-41.041.955,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190906,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-214.634.233,-410.400.083,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
190905,Ambipar Response,Rio de Janeiro,Diário,2022-06-13,-214.096.267,-41.003.245,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,São Francisco de Itabapoana
