Código,Instituição executora,Estado,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
148722,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazante,2020-12-07,-4.346.565,-3.789.851,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Beberibe
148721,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazante,2020-12-07,-4.343.822,-37.901.435,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Beberibe
148720,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazante,2020-12-07,-4.325.015,-379.235.516,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Beberibe
148719,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazante,2020-12-07,-42.630.052,-379.873.838,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Beberibe
148718,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazante,2020-12-07,-4.228.497,-3.803.047,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Beberibe
148717,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazante,2020-12-07,-4.193.487,-38.069.627,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Beberibe
148716,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Enchente,2020-12-07,-408.632,-38.159.853,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Cascavel
148715,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Enchente,2020-12-07,-4.064.742,-3.817.481,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Cascavel
148714,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Enchente,2020-12-07,-3.977.487,-38.247.675,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Cascavel
148713,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazia,2021-01-15,-509.086,-3.627.648,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Galinhos
148633,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2020-11-28,-502.218,-3.681.694,Mammalia,Cetacea,Sotalia guianensis,Não,Arenoso,Morto,Porto do Mangue
148606,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2020-12-13,-50.593.113,-367.722.702,Mammalia,Sirenia,Trichechus manatus manatus,Sim,Arenoso,Morto,Porto do Mangue
148600,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Indeterminado,2020-12-11,-492.718,-371.159,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Areia Branca
148592,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2021-01-10,-465.162,-374.602,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148590,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2021-01-10,-47.742,-372.744,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148587,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2021-01-10,-478.114,-3.727.264,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148580,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Enchente,2021-01-08,-471.347,-3.731.232,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148579,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Vazante,2020-12-31,-482.486,-3.725.653,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Icapuí
148544,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2020-12-29,-47.868,-3.727.092,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148388,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2021-01-10,-509.558,-3.623.082,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Galinhos
148335,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2021-01-09,-477.309,-372.749,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148279,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Enchente,2020-12-29,-457.137,-3.765.765,Reptilia,Testudines,Chelonia mydas,Não,Outros,Vivo,Aracati
148156,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2021-01-05,-46.510.428,-374.616.355,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
148155,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário 15,Enchente,2021-01-05,-482.419,-3.725.684,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Icapuí
148086,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2020-12-27,-492.798,-3.711.645,Reptilia,Testudines,Chelonia mydas,Não,Água,Vivo,Areia Branca
148058,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2021-01-03,-492.551,-3.711.169,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Areia Branca
