Código,Instituição executora,Estado,Cidade,Praia,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição
136806,Trecho 09,São Paulo,Guarujá,Guaiuba,Diário,Vazante,2020-09-15,-24.019.421,-462.902.006,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136803,Trecho 10,São Paulo,Caraguatatuba,Massaguaçu,Diário,Vazante,2020-09-14,-235.786.147,-453.194.189,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
136795,Trecho 10,São Paulo,Ubatuba,Itaguá,Diário,Vazante,2020-09-14,-234.519.229,-450.642.201,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136792,Trecho 10,São Paulo,São Sebastião,Santiago,Diário,Enchente,2020-09-11,-238.090.564,-455.440.034,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
136790,Trecho 10,São Paulo,Ubatuba,Perequê-açu,Diário,Vazante,2020-09-14,-234.190.496,-450.600.386,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136781,Trecho 10,São Paulo,Ubatuba,Praia não identificada,Diário,Enchente,2020-09-14,-2.338.726,-4.494.958,Aves,Charadriiformes,Larus dominicanus,Não,Rochoso,Morto
136777,Trecho 07,São Paulo,Ilha Comprida,Praia não identificada,Diário,Enchente,2020-09-14,-247.500.194,-475.514.674,Aves,Charadriiformes,Thalasseus acuflavidus,Não,Arenoso,Vivo
136773,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-14,-248.187.436,-476.507.715,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136772,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-14,-250.452.235,-478.864.202,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136767,Trecho 09,São Paulo,Guarujá,Mar Casado/Pernambuco,Diário,Enchente,2020-09-14,-23.971.862,-46.186.223,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136758,Trecho 08,São Paulo,"Mongaguá,Praia Grande",Praia Grande - Mongaguá,Diário,Enchente,2020-09-14,-240.394.002,-464.987.945,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Vivo
136757,Trecho 10,São Paulo,São Sebastião,Praia das Pitangueiras,Semanal,Enchente,2020-09-14,-238.255.448,-454.214.382,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Água,Morto
136742,Trecho 10,São Paulo,Ilhabela,Barreiros,Diário,Vazia,2020-09-14,-237.628.533,-453.493.733,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136741,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazia,2020-09-14,-242.462.244,-468.883.811,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136730,Trecho 09,São Paulo,Santos,"Praia do José Menino, Praia do Gonzaga, Praia do Boqueirão, Praia do Embaré, Praia Aparecida, Ponta da Praia",Diário,Vazante,2020-09-13,-239.714.012,-463.518.655,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136729,Trecho 09,São Paulo,São Vicente,Gonzaguinha,Diário,Vazante,2020-09-13,-239.709.895,-463.822.603,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Vivo
136728,Trecho 09,São Paulo,Guarujá,Santa Cruz dos Navegantes,Diário,Enchente,2020-09-13,-239.961.036,-463.052.166,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Vivo
136725,Trecho 10,São Paulo,Caraguatatuba,Tabatinga,Diário,Enchente,2020-09-13,-235.773.823,-452.764.079,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136721,Trecho 10,São Paulo,São Sebastião,Guaecá,Diário,Vazante,2020-09-13,-238.221.793,-454.590.976,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Água,Morto
136720,Trecho 10,São Paulo,São Sebastião,Maresias,Diário,Vazante,2020-09-13,-2.379.123,-4.556.827,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136719,Trecho 10,São Paulo,São Sebastião,Guaecá,Diário,Enchente,2020-09-13,-2.382.325,-4.545.577,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136718,Trecho 10,São Paulo,São Sebastião,Toque-Toque pequeno,Diário,Enchente,2020-09-13,-238.204.204,-455.336.356,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
136716,Trecho 09,São Paulo,Bertioga,Itaguaré/Guaratuba,Diário,Enchente,2020-09-13,-23.764.028,-458.999.937,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136714,Trecho 09,São Paulo,Bertioga,Itaguaré/Guaratuba,Diário,Enchente,2020-09-13,-237.784.516,-459.562.354,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
136712,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Enchente,2020-09-13,-238.132.954,-460.625.341,Aves,Charadriiformes,Thalasseus acuflavidus,Não,Arenoso,Morto
136702,Trecho 10,São Paulo,Ubatuba,Vermelha do Norte,Diário,Enchente,2020-09-13,-2.341.452,-4.503.407,Reptilia,Testudines,Chelonia mydas,Sim,Água,Vivo
136700,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Indeterminado,2020-09-13,-24.015.835,-46.402.614,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
136685,Trecho 09,São Paulo,Bertioga,Canto do Indaia/Riviera,Diário,Vazia,2020-09-13,-2.380.469,-4.602.479,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136683,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-13,-247.218.667,-474.996.388,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
136681,Trecho 10,São Paulo,Ilhabela,Saco da Capela,Diário,Enchente,2020-09-13,-2.378.343,-4.535.814,Aves,Procellariiformes,Puffinus griseus,Não,Arenoso,Morto
136680,Trecho 09,São Paulo,Bertioga,Itaguaré/Guaratuba,Diário,Enchente,2020-09-13,-237.865.846,-459.794.261,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136679,Trecho 09,São Paulo,Guarujá,Enseada-Guarujá,Diário,Vazia,2020-09-13,-239.878.854,-462.066.328,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136676,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-13,-240.301.882,-464.736.786,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136675,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-13,-240.226.206,-464.504.836,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136674,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-13,-2.401.672,-464.278.244,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136673,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-13,-240.155.037,-464.211.951,Aves,Procellariiformes,Procellaria aequinoctialis,Não,Arenoso,Morto
136672,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Vazia,2020-09-13,-240.152.599,-464.189.608,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136669,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazante,2020-09-13,-24.257.083,-469.061.082,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136660,Trecho 09,São Paulo,Guarujá,Guaiuba,Diário,Vazia,2020-09-13,-240.194.929,-462.903.704,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136659,Trecho 09,São Paulo,Guarujá,Guaiuba,Diário,Vazia,2020-09-13,-240.182.865,-462.915.234,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136644,Trecho 10,São Paulo,Ilhabela,Siriúba,Diário,Vazante,2020-09-12,-237.540.181,-453.495.938,Reptilia,Testudines,Chelonia mydas,Sim,Água,Vivo
136641,Trecho 10,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Vazante,2020-09-12,-23.755.843,-458.350.849,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
136636,Trecho 10,São Paulo,Ilhabela,Praia não identificada,Diário,Enchente,2020-09-12,-237.498.691,-453.486.979,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136635,Trecho 10,São Paulo,Ilhabela,Itaquanduba,Diário,Enchente,2020-09-12,-237.992.943,-453.652.112,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136629,Trecho 10,São Paulo,São Sebastião,Santiago,Diário,Enchente,2020-09-12,-2.381.102,-4.554.125,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136625,Trecho 09,São Paulo,São Vicente,Itararé,Diário,Vazia,2020-09-12,-239.763.538,-463.699.576,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136623,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-12,-237.602.134,-458.741.961,Aves,Charadriiformes,Sterna hirundo,Não,Arenoso,Vivo
136622,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Enchente,2020-09-12,-238.146.619,-460.691.777,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
136613,Trecho 10,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-12,-2.375.641,-4.581.781,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
136609,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-12,-247.180.799,-474.928.976,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136608,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-12,-248.050.495,-4.763.243,Aves,Procellariiformes,Procellaria aequinoctialis,Não,Arenoso,Morto
136606,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-12,-248.119.742,-47.641.867,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
136605,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-12,-24.818.257,-476.502.891,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
136604,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-12,-248.284.909,-476.639.982,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136603,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2020-09-12,-24.855.773,-47.700.181,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136600,Trecho 10,São Paulo,Ilhabela,Itaguassu,Diário,Enchente,2020-09-12,-238.021.293,-453.651.425,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
